DEBUG:2016-11-01 17:09:18,930:root:check the login status...
INFO:2016-11-01 17:09:21,330:root:login successful...
DEBUG:2016-11-01 17:09:23,331:root:sofa .... 
INFO:2016-11-01 17:09:23,353:root:gettopicsqueue....
INFO:2016-11-01 17:09:23,353:root:setresponsetext....
INFO:2016-11-01 17:09:23,354:root:checkreplycondition....
INFO:2016-11-01 17:09:27,027:root:responsetopic....
DEBUG:2016-11-01 17:09:27,028:root:sofa .... 
INFO:2016-11-01 17:09:27,028:root:gettopicsqueue....
INFO:2016-11-01 17:09:27,028:root:setresponsetext....
INFO:2016-11-01 17:09:27,029:root:checkreplycondition....
INFO:2016-11-01 17:09:32,323:root:responsetopic....
DEBUG:2016-11-01 17:09:32,918:root:sofa .... 
INFO:2016-11-01 17:09:32,920:root:gettopicsqueue....
INFO:2016-11-01 17:09:32,921:root:setresponsetext....
INFO:2016-11-01 17:09:32,923:root:checkreplycondition....
INFO:2016-11-01 17:09:34,266:root:responsetopic....
DEBUG:2016-11-01 17:09:34,266:root:sofa .... 
INFO:2016-11-01 17:09:34,267:root:gettopicsqueue....
INFO:2016-11-01 17:09:34,267:root:setresponsetext....
INFO:2016-11-01 17:09:34,268:root:checkreplycondition....
INFO:2016-11-01 17:09:36,935:root:responsetopic....
DEBUG:2016-11-01 17:09:38,255:root:sofa .... 
INFO:2016-11-01 17:09:38,257:root:gettopicsqueue....
INFO:2016-11-01 17:09:38,258:root:setresponsetext....
INFO:2016-11-01 17:09:38,259:root:checkreplycondition....
INFO:2016-11-01 17:09:40,911:root:responsetopic....
DEBUG:2016-11-01 17:09:41,912:root:sofa .... 
INFO:2016-11-01 17:09:41,913:root:gettopicsqueue....
INFO:2016-11-01 17:09:41,915:root:setresponsetext....
INFO:2016-11-01 17:09:41,916:root:checkreplycondition....
INFO:2016-11-01 17:09:45,410:root:responsetopic....
DEBUG:2016-11-01 17:09:45,410:root:sofa .... 
INFO:2016-11-01 17:09:45,411:root:gettopicsqueue....
INFO:2016-11-01 17:09:45,411:root:setresponsetext....
INFO:2016-11-01 17:09:45,411:root:checkreplycondition....
INFO:2016-11-01 17:09:48,968:root:responsetopic....
DEBUG:2016-11-01 17:09:49,584:root:sofa .... 
INFO:2016-11-01 17:09:49,586:root:gettopicsqueue....
INFO:2016-11-01 17:09:49,587:root:setresponsetext....
INFO:2016-11-01 17:09:49,589:root:checkreplycondition....
INFO:2016-11-01 17:09:50,733:root:responsetopic....
DEBUG:2016-11-01 17:09:50,733:root:sofa .... 
INFO:2016-11-01 17:09:50,734:root:gettopicsqueue....
INFO:2016-11-01 17:09:50,734:root:setresponsetext....
INFO:2016-11-01 17:09:50,735:root:checkreplycondition....
DEBUG:2016-11-01 17:09:56,603:root:check the login status...
INFO:2016-11-01 17:09:58,242:root:login successful...
DEBUG:2016-11-01 17:10:00,242:root:sofa .... 
INFO:2016-11-01 17:10:00,244:root:gettopicsqueue....
INFO:2016-11-01 17:10:00,245:root:setresponsetext....
INFO:2016-11-01 17:10:00,247:root:checkreplycondition....
INFO:2016-11-01 17:10:01,843:root:responsetopic....
DEBUG:2016-11-01 17:10:01,843:root:sofa .... 
INFO:2016-11-01 17:10:01,843:root:gettopicsqueue....
INFO:2016-11-01 17:10:01,844:root:setresponsetext....
INFO:2016-11-01 17:10:01,844:root:checkreplycondition....
INFO:2016-11-01 17:10:04,953:root:responsetopic....
